id,duration,start_date,src,start_terminal,end_date,end_station,end_terminal,bike,subscriber,zip
903307,185,8/24/2015 18:49,Townsend at 7th,65,8/24/2015 18:53,San Francisco Caltrain 2 (330 Townsend),69,628,Subscriber,94107
903279,708,8/24/2015 18:40,Steuart at Market,74,8/24/2015 18:52,San Francisco Caltrain 2 (330 Townsend),69,457,Subscriber,94025
903250,292,8/24/2015 18:29,Yerba Buena Center of the Arts (3rd @ Howard),68,8/24/2015 18:34,2nd at South Park,64,623,Subscriber,94107
903083,828,8/24/2015 17:39,Temporary Transbay Terminal (Howard at Beale),55,8/24/2015 17:53,San Francisco Caltrain (Townsend at 4th),70,448,Subscriber,95014
902845,1577,8/24/2015 16:32,Stanford in Redwood City,25,8/24/2015 16:58,Palo Alto Caltrain Station,34,689,Subscriber,95131
902565,328,8/24/2015 12:05,Commercial at Montgomery,45,8/24/2015 12:11,Yerba Buena Center of the Arts (3rd @ Howard),68,527,Subscriber,94107
902513,358,8/24/2015 11:25,Market at Sansome,77,8/24/2015 11:31,Embarcadero at Folsom,51,353,Subscriber,94549
902422,250,8/24/2015 9:52,Mountain View Caltrain Station,28,8/24/2015 9:56,Mountain View City Hall,27,80,Subscriber,94107
902233,462,8/24/2015 8:54,Steuart at Market,74,8/24/2015 9:02,2nd at Townsend,61,382,Subscriber,94609
902061,663,8/24/2015 8:08,San Francisco Caltrain (Townsend at 4th),70,8/24/2015 8:19,Embarcadero at Folsom,51,291,Subscriber,94085
901987,847,8/24/2015 7:49,San Francisco Caltrain (Townsend at 4th),70,8/24/2015 8:04,Steuart at Market,74,283,Subscriber,95134
901957,404,8/24/2015 7:35,San Jose Diridon Caltrain Station,2,8/24/2015 7:42,San Pedro Square,6,57,Subscriber,94110
901739,385,8/23/2015 18:08,Howard at 2nd,63,8/23/2015 18:14,San Francisco Caltrain (Townsend at 4th),70,630,Subscriber,94105
901543,1053,8/23/2015 11:15,Harry Bridges Plaza (Ferry Building),50,8/23/2015 11:32,Embarcadero at Sansome,60,514,Customer,60137
901526,564,8/23/2015 10:47,Embarcadero at Sansome,60,8/23/2015 10:57,Embarcadero at Bryant,54,423,Subscriber,94107
901507,920,8/23/2015 10:23,Powell at Post (Union Square),71,8/23/2015 10:39,Harry Bridges Plaza (Ferry Building),50,400,Customer,39
901363,641,8/22/2015 18:24,Grant Avenue at Columbus Avenue,73,8/22/2015 18:35,Civic Center BART (7th at Market),72,336,Subscriber,94133
901342,331,8/22/2015 17:22,Embarcadero at Folsom,51,8/22/2015 17:28,2nd at Townsend,61,401,Subscriber,94107
900891,842,8/21/2015 21:33,Ryland Park,84,8/21/2015 21:47,Santa Clara County Civic Center,80,654,Customer,95050
900824,372,8/21/2015 19:10,Embarcadero at Sansome,60,8/21/2015 19:16,Steuart at Market,74,547,Subscriber,94612
900585,222,8/21/2015 17:19,Embarcadero at Vallejo,48,8/21/2015 17:23,Steuart at Market,74,473,Subscriber,94597
900549,262,8/21/2015 17:12,Market at 10th,67,8/21/2015 17:17,Powell Street BART,39,193,Subscriber,94103
900506,196,8/21/2015 17:04,Market at Sansome,77,8/21/2015 17:07,Harry Bridges Plaza (Ferry Building),50,636,Subscriber,94925
900469,501,8/21/2015 16:49,Temporary Transbay Terminal (Howard at Beale),55,8/21/2015 16:57,San Francisco Caltrain (Townsend at 4th),70,436,Subscriber,94022
900455,798,8/21/2015 16:43,Townsend at 7th,65,8/21/2015 16:57,Temporary Transbay Terminal (Howard at Beale),55,573,Subscriber,94602
900210,678,8/21/2015 14:01,Powell Street BART,39,8/21/2015 14:12,Market at 10th,67,600,Customer,5403
900193,630,8/21/2015 13:46,Market at Sansome,77,8/21/2015 13:56,Embarcadero at Sansome,60,531,Subscriber,94111
900004,353,8/21/2015 10:38,2nd at South Park,64,8/21/2015 10:44,Market at 4th,76,287,Subscriber,94102
900003,529,8/21/2015 10:38,Market at 4th,76,8/21/2015 10:46,San Francisco Caltrain (Townsend at 4th),70,613,Subscriber,94107
899949,766,8/21/2015 10:00,2nd at South Park,64,8/21/2015 10:13,Washington at Kearny,46,629,Subscriber,94133
899615,227,8/21/2015 8:16,Davis at Jackson,42,8/21/2015 8:20,Washington at Kearny,46,479,Subscriber,94087
899323,1125,8/20/2015 21:58,Grant Avenue at Columbus Avenue,73,8/20/2015 22:17,Embarcadero at Bryant,54,582,Subscriber,94107
899275,1572,8/20/2015 20:22,Santa Clara at Almaden,4,8/20/2015 20:48,San Pedro Square,6,232,Customer,1
899230,585,8/20/2015 19:42,Market at Sansome,77,8/20/2015 19:52,Embarcadero at Sansome,60,268,Subscriber,94111
899228,501,8/20/2015 19:41,2nd at South Park,64,8/20/2015 19:49,Steuart at Market,74,548,Subscriber,94901
899220,626,8/20/2015 19:33,San Francisco Caltrain (Townsend at 4th),70,8/20/2015 19:43,Harry Bridges Plaza (Ferry Building),50,209,Subscriber,94111
899194,694,8/20/2015 19:11,Market at 4th,76,8/20/2015 19:23,Market at 10th,67,320,Customer,1121
899013,462,8/20/2015 17:58,Spear at Folsom,49,8/20/2015 18:06,San Francisco Caltrain (Townsend at 4th),70,286,Subscriber,94107
898979,357,8/20/2015 17:48,Market at 4th,76,8/20/2015 17:54,Temporary Transbay Terminal (Howard at Beale),55,271,Subscriber,94706
898571,451,8/20/2015 15:46,San Jose Civic Center,3,8/20/2015 15:53,San Jose Diridon Caltrain Station,2,293,Subscriber,94070
898286,603,8/20/2015 10:25,Embarcadero at Bryant,54,8/20/2015 10:35,Commercial at Montgomery,45,425,Subscriber,94105
898279,2558,8/20/2015 10:19,San Francisco Caltrain (Townsend at 4th),70,8/20/2015 11:02,Mechanics Plaza (Market at Battery),75,501,Customer,14222
898092,837,8/20/2015 9:05,San Francisco Caltrain (Townsend at 4th),70,8/20/2015 9:19,Mechanics Plaza (Market at Battery),75,340,Subscriber,94301
898072,573,8/20/2015 9:01,Harry Bridges Plaza (Ferry Building),50,8/20/2015 9:10,2nd at Townsend,61,709,Subscriber,94901
897933,517,8/20/2015 8:32,Harry Bridges Plaza (Ferry Building),50,8/20/2015 8:41,2nd at Folsom,62,417,Subscriber,94973
897924,975,8/20/2015 8:30,San Francisco Caltrain (Townsend at 4th),70,8/20/2015 8:47,Embarcadero at Vallejo,48,315,Subscriber,94403
897873,1108,8/20/2015 8:14,San Francisco Caltrain (Townsend at 4th),70,8/20/2015 8:33,Harry Bridges Plaza (Ferry Building),50,567,Subscriber,94087
897800,415,8/20/2015 7:58,Powell at Post (Union Square),71,8/20/2015 8:05,Harry Bridges Plaza (Ferry Building),50,617,Subscriber,94111
897517,582,8/19/2015 20:37,Powell Street BART,39,8/19/2015 20:47,Washington at Kearny,46,581,Subscriber,94133
897135,819,8/19/2015 17:38,Powell Street BART,39,8/19/2015 17:51,Townsend at 7th,65,387,Subscriber,94107
896708,594,8/19/2015 15:02,South Van Ness at Market,66,8/19/2015 15:11,San Francisco Caltrain 2 (330 Townsend),69,546,Subscriber,94107
896649,289,8/19/2015 13:22,2nd at Folsom,62,8/19/2015 13:27,5th at Howard,57,56,Subscriber,94597
896628,487,8/19/2015 13:04,Powell Street BART,39,8/19/2015 13:12,South Van Ness at Market,66,425,Subscriber,95119
896213,580,8/19/2015 8:51,Embarcadero at Folsom,51,8/19/2015 9:01,San Francisco Caltrain (Townsend at 4th),70,447,Subscriber,94610
896205,1916,8/19/2015 8:49,San Francisco Caltrain 2 (330 Townsend),69,8/19/2015 9:21,South Van Ness at Market,66,507,Subscriber,94010
896172,359,8/19/2015 8:43,Temporary Transbay Terminal (Howard at Beale),55,8/19/2015 8:49,Commercial at Montgomery,45,509,Subscriber,94608
895932,448,8/19/2015 7:40,San Francisco Caltrain (Townsend at 4th),70,8/19/2015 7:47,Post at Kearny,47,617,Subscriber,94114
895772,724,8/18/2015 22:08,San Francisco Caltrain (Townsend at 4th),70,8/18/2015 22:20,Davis at Jackson,42,385,Subscriber,94111
895723,1203,8/18/2015 19:57,Harry Bridges Plaza (Ferry Building),50,8/18/2015 20:17,Embarcadero at Sansome,60,331,Customer,95683
895716,261,8/18/2015 19:44,2nd at South Park,64,8/18/2015 19:48,Market at Sansome,77,286,Subscriber,94544
895631,575,8/18/2015 18:53,Palo Alto Caltrain Station,34,8/18/2015 19:03,University and Emerson,35,686,Subscriber,94303
895532,191,8/18/2015 18:20,Mountain View City Hall,27,8/18/2015 18:23,Mountain View Caltrain Station,28,693,Subscriber,94109
895231,141,8/18/2015 17:06,Beale at Market,56,8/18/2015 17:08,Temporary Transbay Terminal (Howard at Beale),55,340,Subscriber,94111
894986,396,8/18/2015 15:30,South Van Ness at Market,66,8/18/2015 15:37,Powell Street BART,39,287,Subscriber,94103
894633,376,8/18/2015 9:54,Powell Street BART,39,8/18/2015 10:00,San Francisco Caltrain 2 (330 Townsend),69,343,Subscriber,94107
894473,474,8/18/2015 9:06,San Francisco Caltrain (Townsend at 4th),70,8/18/2015 9:14,Howard at 2nd,63,541,Subscriber,94402
893745,536,8/17/2015 18:33,Spear at Folsom,49,8/17/2015 18:42,San Francisco Caltrain (Townsend at 4th),70,480,Subscriber,94105
893592,584,8/17/2015 17:53,Steuart at Market,74,8/17/2015 18:03,San Francisco Caltrain (Townsend at 4th),70,311,Subscriber,94024
893564,954,8/17/2015 17:40,San Francisco Caltrain (Townsend at 4th),70,8/17/2015 17:56,Embarcadero at Sansome,60,386,Subscriber,94133
893538,568,8/17/2015 17:37,Harry Bridges Plaza (Ferry Building),50,8/17/2015 17:47,San Francisco Caltrain 2 (330 Townsend),69,558,Subscriber,95014
893497,580,8/17/2015 17:29,San Francisco Caltrain 2 (330 Townsend),69,8/17/2015 17:39,Civic Center BART (7th at Market),72,583,Subscriber,94549
893331,518,8/17/2015 16:58,Temporary Transbay Terminal (Howard at Beale),55,8/17/2015 17:07,San Francisco Caltrain 2 (330 Townsend),69,342,Subscriber,94117
893241,404,8/17/2015 16:31,Mechanics Plaza (Market at Battery),75,8/17/2015 16:38,Powell Street BART,39,497,Subscriber,94110
893077,1124,8/17/2015 14:22,Park at Olive,38,8/17/2015 14:41,San Antonio Shopping Center,31,194,Customer,20052
892789,601,8/17/2015 10:02,Davis at Jackson,42,8/17/2015 10:12,2nd at Townsend,61,275,Subscriber,94111
892743,529,8/17/2015 9:40,Harry Bridges Plaza (Ferry Building),50,8/17/2015 9:48,Post at Kearny,47,378,Subscriber,95442
892722,488,8/17/2015 9:32,Embarcadero at Sansome,60,8/17/2015 9:40,Embarcadero at Folsom,51,412,Subscriber,94133
892708,502,8/17/2015 9:24,San Francisco Caltrain (Townsend at 4th),70,8/17/2015 9:32,Yerba Buena Center of the Arts (3rd @ Howard),68,441,Subscriber,94087
892564,453,8/17/2015 8:56,Spear at Folsom,49,8/17/2015 9:03,Mechanics Plaza (Market at Battery),75,286,Subscriber,94105
892485,608,8/17/2015 8:39,San Francisco Caltrain 2 (330 Townsend),69,8/17/2015 8:49,Harry Bridges Plaza (Ferry Building),50,212,Subscriber,94303
892370,453,8/17/2015 8:12,Embarcadero at Sansome,60,8/17/2015 8:20,Beale at Market,56,541,Subscriber,94115
892238,191,8/17/2015 7:37,Townsend at 7th,65,8/17/2015 7:40,San Francisco Caltrain 2 (330 Townsend),69,517,Subscriber,94103
892189,453,8/17/2015 7:10,Embarcadero at Folsom,51,8/17/2015 7:17,San Francisco Caltrain (Townsend at 4th),70,878,Subscriber,94105
892129,90,8/17/2015 1:08,Beale at Market,56,8/17/2015 1:10,Temporary Transbay Terminal (Howard at Beale),55,315,Subscriber,94130
891993,878,8/16/2015 17:08,Steuart at Market,74,8/16/2015 17:23,Embarcadero at Sansome,60,458,Customer,85253
891952,292,8/16/2015 16:18,Broadway St at Battery St,82,8/16/2015 16:23,Embarcadero at Sansome,60,380,Customer,75234
891735,313,8/16/2015 10:40,Mountain View Caltrain Station,28,8/16/2015 10:45,Evelyn Park and Ride,30,650,Customer,55423
891663,488,8/16/2015 8:56,Paseo de San Antonio,7,8/16/2015 9:04,Japantown,9,102,Subscriber,95112
891374,237,8/15/2015 14:54,Temporary Transbay Terminal (Howard at Beale),55,8/15/2015 14:58,Yerba Buena Center of the Arts (3rd @ Howard),68,269,Subscriber,94103
891275,750,8/15/2015 13:05,Commercial at Montgomery,45,8/15/2015 13:17,Embarcadero at Bryant,54,507,Subscriber,94107
891251,765,8/15/2015 12:26,Market at 10th,67,8/15/2015 12:38,Townsend at 7th,65,442,Customer,94116
890748,695,8/14/2015 17:38,Clay at Battery,41,8/14/2015 17:50,San Francisco Caltrain (Townsend at 4th),70,579,Subscriber,94114
890697,621,8/14/2015 17:24,Townsend at 7th,65,8/14/2015 17:34,Embarcadero at Bryant,54,687,Subscriber,94103
890573,708,8/14/2015 16:56,Golden Gate at Polk,59,8/14/2015 17:08,San Francisco Caltrain 2 (330 Townsend),69,629,Subscriber,94306
890550,770,8/14/2015 16:51,Steuart at Market,74,8/14/2015 17:04,San Francisco Caltrain (Townsend at 4th),70,432,Subscriber,94002
890307,547,8/14/2015 13:39,Golden Gate at Polk,59,8/14/2015 13:48,Steuart at Market,74,387,Subscriber,94610
890178,1770,8/14/2015 11:49,San Francisco Caltrain 2 (330 Townsend),69,8/14/2015 12:19,San Francisco Caltrain 2 (330 Townsend),69,449,Subscriber,94107
890173,319,8/14/2015 11:46,Davis at Jackson,42,8/14/2015 11:52,Temporary Transbay Terminal (Howard at Beale),55,66,Subscriber,94111
889848,300,8/14/2015 8:52,Mountain View Caltrain Station,28,8/14/2015 8:57,Evelyn Park and Ride,30,639,Subscriber,94108
889802,415,8/14/2015 8:42,Civic Center BART (7th at Market),72,8/14/2015 8:49,San Francisco Caltrain 2 (330 Townsend),69,137,Customer,94102
889354,559,8/13/2015 19:27,San Jose Diridon Caltrain Station,2,8/13/2015 19:36,SJSU 4th at San Carlos,12,226,Customer,nil
889289,861,8/13/2015 19:02,Commercial at Montgomery,45,8/13/2015 19:17,San Francisco City Hall,58,437,Subscriber,94102
889281,256,8/13/2015 18:59,San Francisco Caltrain 2 (330 Townsend),69,8/13/2015 19:03,2nd at South Park,64,286,Subscriber,94105
889221,646,8/13/2015 18:37,Powell Street BART,39,8/13/2015 18:47,San Francisco Caltrain (Townsend at 4th),70,585,Subscriber,94102
889070,1021,8/13/2015 17:46,Golden Gate at Polk,59,8/13/2015 18:03,San Francisco Caltrain 2 (330 Townsend),69,359,Subscriber,94109
888981,478,8/13/2015 17:20,2nd at Townsend,61,8/13/2015 17:28,Temporary Transbay Terminal (Howard at Beale),55,556,Subscriber,94608
888792,1079,8/13/2015 16:28,Spear at Folsom,49,8/13/2015 16:46,Golden Gate at Polk,59,359,Subscriber,94109
888653,308,8/13/2015 15:17,Steuart at Market,74,8/13/2015 15:23,Spear at Folsom,49,511,Subscriber,94105
888394,523,8/13/2015 11:23,Market at 10th,67,8/13/2015 11:32,San Francisco Caltrain 2 (330 Townsend),69,484,Customer,nil
888040,352,8/13/2015 8:43,San Jose Diridon Caltrain Station,2,8/13/2015 8:49,San Pedro Square,6,183,Subscriber,94002
887740,742,8/13/2015 7:20,Temporary Transbay Terminal (Howard at Beale),55,8/13/2015 7:33,San Francisco City Hall,58,557,Subscriber,94530
887677,405,8/13/2015 6:20,Harry Bridges Plaza (Ferry Building),50,8/13/2015 6:26,Yerba Buena Center of the Arts (3rd @ Howard),68,306,Subscriber,94105
887521,1441,8/12/2015 19:58,Steuart at Market,74,8/12/2015 20:22,Civic Center BART (7th at Market),72,311,Subscriber,94107
887252,537,8/12/2015 17:56,5th at Howard,57,8/12/2015 18:05,Embarcadero at Bryant,54,420,Customer,92104
887235,1019,8/12/2015 17:52,Beale at Market,56,8/12/2015 18:09,5th at Howard,57,364,Customer,21209
887153,1000,8/12/2015 17:32,Harry Bridges Plaza (Ferry Building),50,8/12/2015 17:48,San Francisco Caltrain 2 (330 Townsend),69,279,Subscriber,94087
886851,308,8/12/2015 16:08,Post at Kearny,47,8/12/2015 16:14,Steuart at Market,74,334,Subscriber,94131
886739,849,8/12/2015 15:01,2nd at Townsend,61,8/12/2015 15:15,Embarcadero at Sansome,60,338,Subscriber,94941
886562,602,8/12/2015 11:49,Market at Sansome,77,8/12/2015 11:59,2nd at Townsend,61,33,Subscriber,94041
886527,456,8/12/2015 10:59,5th at Howard,57,8/12/2015 11:06,South Van Ness at Market,66,561,Subscriber,94702
886424,287,8/12/2015 9:47,Mountain View Caltrain Station,28,8/12/2015 9:52,Castro Street and El Camino Real,32,678,Subscriber,94401
886210,636,8/12/2015 8:53,Market at 4th,76,8/12/2015 9:03,San Francisco Caltrain (Townsend at 4th),70,277,Subscriber,94105
886091,213,8/12/2015 8:25,Beale at Market,56,8/12/2015 8:29,Howard at 2nd,63,677,Subscriber,94602
885717,1076,8/11/2015 20:01,Embarcadero at Bryant,54,8/11/2015 20:19,Embarcadero at Bryant,54,544,Subscriber,94105
885524,335,8/11/2015 18:16,Post at Kearny,47,8/11/2015 18:22,Steuart at Market,74,274,Subscriber,94939
885372,566,8/11/2015 17:40,2nd at Townsend,61,8/11/2015 17:50,Steuart at Market,74,109,Subscriber,94526
885371,566,8/11/2015 17:40,Townsend at 7th,65,8/11/2015 17:49,South Van Ness at Market,66,402,Subscriber,94107
885290,314,8/11/2015 17:24,Santa Clara at Almaden,4,8/11/2015 17:29,San Jose Diridon Caltrain Station,2,150,Subscriber,94305
885162,949,8/11/2015 16:55,South Van Ness at Market,66,8/11/2015 17:10,San Francisco Caltrain 2 (330 Townsend),69,158,Customer,nil
885153,402,8/11/2015 16:53,Broadway St at Battery St,82,8/11/2015 17:00,Embarcadero at Sansome,60,286,Subscriber,94118
